SubjectArea,Subject,Band,AchievementStandard,,
Science,Science,Foundation,"By the end of Foundation students group plants and animals based on external features. They identify factors that influence the movement of objects. They describe the observable properties of the materials that make up objects. They identify examples of people using observation and questioning to learn about the natural world.  Students pose questions and make predictions based on their experiences. They engage in investigations and make observations safely. With guidance, they represent observations and identify patterns. With guidance, they compare their observations with their predictions. They share questions, predictions, observations and ideas about their experiences with others.   ",,
Science,Science,Year 1,"By the end of Year 1 students identify how living things meet their needs in the places they live. They identify daily and seasonal changes and describe ways these changes affect their everyday life. They describe how different pushes and pulls change the motion and shape of objects. They describe situations where they use science in their daily lives and identify examples of people making scientific predictions.   Students pose questions to explore observations and make predictions based on experiences. They follow safe procedures to make and record observations. They use provided tables and organisers to sort and order data and information and, with guidance, represent patterns. With guidance, they compare observations with predictions and identify further questions. They use everyday vocabulary to communicate observations, findings and ideas.",,
Science,Science,Year 2,"By the end of Year 2 students identify celestial objects and describe patterns they observe in the sky. They demonstrate how different sounds can be produced and describe the effect of sound energy on objects. They identify ways to change materials without changing their material composition. They describe how people use science in their daily lives and how people use patterns to make scientific predictions.  Students pose questions to explore observed patterns or relationships and make predictions based on experience. They suggest steps to be followed in an investigation and follow safe procedures to make and record observations. They use provided tables and organisers to sort and order data and represent patterns in data. With guidance, they compare their observations with those of others, identify whether their investigation was fair and identify further questions. They use everyday and scientific vocabulary to communicate observations, findings and ideas.",,
Science,Science,Year 3,"By the end of Year 3 students classify and compare living and non-living things and different life cycles. They describe the observable properties of soils, rocks and minerals and describe their importance as resources. They identify sources of heat energy and examples of heat transfer and explain changes in the temperature of objects. They classify solids and liquids based on observable properties and describe how to cause a change of state. They describe how people use data to develop explanations. They identify solutions that use scientific explanations.  Students pose questions to explore patterns and relationships and make predictions based on observations. They use scaffolds to plan safe investigations and fair tests. They use familiar classroom instruments to make measurements. They organise data and information using provided scaffolds and identify patterns and relationships. They compare their findings with those of others, explain how they kept their investigation fair, identify further questions and draw conclusions. They communicate ideas and findings for an identified purpose, including using scientific vocabulary when appropriate.",,
Science,Science,Year 4,"By the end of Year 4 students identify the roles of organisms in a habitat and construct food chains. They identify key processes in the water cycle and describe how water cycles through the environment. They identify forces acting on objects and describe their effect. They relate the uses of materials to their properties. They explain the role of data in science inquiry. They identify solutions based on scientific explanations and describe the needs these meet.   Students pose questions to identify patterns and relationships and make predictions based on observations. They plan investigations using planning scaffolds, identify key elements of fair tests and describe how they conduct investigations safely. They use simple procedures to make accurate formal measurements. They construct representations to organise data and information and identify patterns and relationships. They compare their findings with those of others, assess the fairness of their investigation, identify further questions for investigation and draw conclusions. They communicate ideas and findings for an identified audience and purpose, including using scientific vocabulary when appropriate.",,
Science,Science,Year 5,"By the end of Year 5 students explain how the form and behaviour of living things enables survival. They describe key processes that change Earth’s surface. They identify sources of light and model the transfer of light to explain observed phenomena. They relate the particulate arrangement of solids, liquids and gases to their observable properties. They describe examples of collaboration leading to advances in science, and scientific knowledge that has changed over time. They identify examples where scientific knowledge informs the actions of individuals and communities.   Students plan safe investigations to identify patterns and relationships and make reasoned predictions. They identify risks associated with investigations and key intercultural considerations when planning field work. They identify variables to be changed and measured. They use equipment to generate data with appropriate precision. They construct representations to organise data and information and describe patterns, trends and relationships. They compare their methods and findings to those of others, identify possible sources of error in their investigation, pose questions for further investigation and draw reasoned conclusions. They use language features that reflect their purpose and audience when communicating their ideas and findings.",,
Science,Science,Year 6,"By the end of Year 6 students explain how changes in physical conditions affect living things. They model the relationship between the sun and planets of the solar system and explain how the relative positions of Earth and the sun relate to observed phenomena on Earth. They identify the role of circuit components in the transfer and transformation of electrical energy. They classify and compare reversible and irreversible changes to substances. They explain why science is often collaborative and describe different individuals’ contributions to scientific knowledge. They describe how individuals and communities use scientific knowledge.   Students plan safe, repeatable investigations to identify patterns and test relationships and make reasoned predictions. They describe risks associated with investigations and key intercultural considerations when planning field work. They identify variables to be changed, measured and controlled. They use equipment to generate and record data with appropriate precision. They construct representations to organise and process data and information and describe patterns, trends and relationships. They identify possible sources of error in their own and others’ methods and findings, pose questions for further investigation and select evidence to support reasoned conclusions. They select and use language features effectively for their purpose and audience when communicating their ideas and findings.",,
Science,Science,Year 7,"By the end of Year 7 students explain how biological diversity is ordered and organised. They represent flows of matter and energy in ecosystems and predict the effects of environmental changes. They model cycles in the Earth-sun-moon system and explain the effects of these cycles on Earth phenomena. They represent and explain the effects of forces acting on objects. They use particle theory to explain the physical properties of substances and develop processes that separate mixtures. Students identify the factors that can influence development of and lead to changes in scientific knowledge. They explain how scientific responses are developed and can impact society. They explain the role of science communication in shaping viewpoints, policies and regulations.   Students plan and conduct safe, reproducible investigations to test relationships and aspects of scientific models. They identify potential ethical issues and intercultural considerations required for field locations or use of secondary data. They use equipment to generate and record data with precision. They select and construct appropriate representations to organise data and information. They process data and information and analyse it to describe patterns, trends and relationships. They identify possible sources of error in methods and identify unanswered questions in conclusions and claims. They identify evidence to support their conclusions and construct arguments to support or dispute claims. They select and use language and text features appropriately for their purpose and audience when communicating their ideas and findings.",,
Science,Science,Year 8,"By the end of Year 8 students explain the role of specialised cell structures and organelles in cellular function and analyse the relationship between structure and function at organ and body system levels. They apply an understanding of the theory of plate tectonics to explain patterns of change in the geosphere. They explain how the properties of rocks relate to their formation and influence their use. They compare different forms of energy and represent transfer and transformation of energy in simple systems. They classify and represent different types of matter and distinguish between physical and chemical change. Students analyse how different factors influence development of and lead to changes in scientific knowledge. They analyse the key considerations that inform scientific responses and how these responses impact society. They analyse the importance of science communication in shaping viewpoints, policies and regulations.   Students plan and conduct safe, reproducible investigations to test relationships and explore models. They describe potential ethical issues and intercultural considerations needed for specific field locations or use of secondary data. They select and use equipment to generate and record data with precision. They select and construct appropriate representations to organise and process data and information. They analyse data and information to describe patterns, trends and relationships and identify anomalies. They identify assumptions and sources of error in methods and analyse conclusions and claims with reference to conflicting evidence and unanswered questions. They construct evidence-based arguments to support conclusions and evaluate claims. They select and use language and text features appropriately for their purpose when communicating their ideas, findings and arguments to specific audiences.",,
Science,Science,Year 9,"By the end of Year 9 students explain how body systems provide a coordinated response to stimuli. They describe how the processes of sexual and asexual reproduction enable survival of the species. They explain how interactions within and between Earth’s spheres affect the carbon cycle. They analyse energy conservation in simple systems and apply wave and particle models to describe energy transfer. They explain observable chemical processes in terms of changes in atomic structure, atomic rearrangement and mass. Students explain the role of publication and peer review in the development of scientific knowledge and explain the relationship between science, technologies and engineering. They analyse the different ways in which science and society are interconnected.   Students plan and conduct safe, reproducible investigations to test or identify relationships and models. They describe how they have addressed any ethical and intercultural considerations when generating or using primary and secondary data. They select and use equipment to generate and record replicable data with precision. They select and construct appropriate representations to organise, process and summarise data and information. They analyse and connect data and information to identify and explain patterns, trends, relationships and anomalies. They analyse the impact of assumptions and sources of error in methods and evaluate the validity of conclusions and claims. They construct logical arguments based on evidence to support conclusions and evaluate claims. They select and use content, language and text features effectively to achieve their purpose when communicating their ideas, findings and arguments to specific audiences.",,
Science,Science,Year 10,"By the end of Year 10 students explain the processes that underpin heredity and genetic diversity and describe the evidence supporting the theory of evolution by natural selection. They sequence key events in the origin and evolution of the universe and describe the supporting evidence for the big bang theory. They describe trends in patterns of global climate change and identify causal factors. They explain how Newton’s laws describe motion and apply them to predict motion of objects in a system. They explain patterns and trends in the periodic table and predict the products of reactions and the effect of changing reactant and reaction conditions. Students analyse the importance of publication and peer review in the development of scientific knowledge and analyse the relationship between science, technologies and engineering. They analyse the key factors that influence interactions between science and society.   Students plan and conduct safe, valid and reproducible investigations to test relationships or develop explanatory models. They explain how they have addressed any ethical and intercultural considerations when generating or using primary and secondary data. They select equipment and use it efficiently to generate and record appropriate sample sizes and replicable data with precision. They select and construct effective representations to organise, process and summarise data and information. They analyse and connect a variety of data and information to identify and explain patterns, trends, relationships and anomalies. They evaluate the validity and reproducibility of methods, and the validity of conclusions and claims. They construct logical arguments based on analysis of a variety of evidence to support conclusions and evaluate claims. They select and use content, language and text features effectively to achieve their purpose when communicating their ideas, findings and arguments to diverse audiences.",,
